제품번호,물품명,물품대분류,물품중분류,상품중량
100021V2_0,2단무늬컵,식기/편백,자기,1p
100022V2_1,7곡딸기롤과자,과자,스낵,100g/10개입
100023V2_2,7곡참식,식사대용,선식/생식,700g
100024V2_3,가리비,생물수산,패류/갑각류,1.5kg
100025V2_3,가리비,생물수산,패류/갑각류,1kg
100026V2_4,가마솥3인용,식기/편백,옹기,
100027V2_5,가마솥5인용,식기/편백,옹기,
100028V2_6,가브리살,중량(정육),돼지(중량),무항생제-성남용인
100029V2_7,가브리살-성남용인,중량(정육),돼지(중량),
1000210V2_8,가시복분자원액,음료,발효음료,병:700ml
1000211V2_9,가시복분자즙,음료,과즙,100ml*10봉
1000212V2_9,가시복분자즙,음료,과즙,100ml*20봉
1000213V2_9,가시복분자즙,음료,과즙,100ml/1봉
1000214V2_10,가시오이,열매채소,가시오이,2개
1000215V2_11,가자미,냉동수산,냉동생선,2~4마리/300g
1000216V2_12,가지,열매채소,가지,2개
1000217V2_12,가지,열매채소,가지,4개
1000218V2_12,가지,열매채소,가지,토종:2개
1000219V2_13,가지말림,말린나물/건재,가지말림,100g
1000220V2_14,각굴,생물수산,패류/갑각류,까지않은굴/2.5kg
1000221V2_15,간고등어살,냉동수산,냉동생선,3쪽/240g
1000222V2_15,간고등어살,냉동수산,냉동생선,대/2쪽/300g
1000223V2_15,간고등어살,냉동수산,냉동생선,특/2쪽/400g
1000224V2_16,간삼치살,냉동수산,냉동생선,2쪽/400g
1000225V2_17,간임연수어,냉동수산,냉동생선,2~3마리/350g
1000226V2_18,간장꽃게장,수산가공,게장/게살,2마리/400g
1000227V2_18,간장꽃게장,수산가공,게장/게살,2마리/500g
1000228V2_19,간장샐러드소스,소스/기타양념,소스,220ml
1000229V2_20,간장소스순살닭강정,육가공,돈가스/분쇄가공,"강정400g,소스110g"
1000230V2_21,간편한상 매콤주꾸미,수산가공,수산가공반찬,300g
1000231V2_22,갈매기살,중량(정육),돼지(중량),무항생제-성남용인
1000232V2_23,갈매기살-성남용인,중량(정육),돼지(중량),
1000233V2_24,갈색만가닥버섯,버섯,만가닥버섯,150g
1000234V2_24,갈색만가닥버섯,버섯,만가닥버섯,300g
1000235V2_25,갈색양송이버섯,버섯,양송이버섯,140g
1000236V2_25,갈색양송이버섯,버섯,양송이버섯,300g
1000237V2_26,갈치,냉동수산,냉동생선,200g
1000238V2_26,갈치,냉동수산,냉동생선,300g
1000239V2_27,갈치선물,냉동수산,냉동생선,1마리/소분용
1000240V2_28,갈치선물모음,냉동수산,냉동생선,3마리
1000241V2_29,감귤/비가림,과일,귤(비가림),유:3kg
1000242V2_30,감귤/비가림/유,과일,귤(비가림),1.5kg
1000243V2_31,감귤/세미놀,과일,귤만감,유:2kg
1000244V2_32,감귤/진홍,과일,귤만감,무:1.5kg
1000245V2_33,감귤/진홍/소과/,과일,귤만감,무:1.5kg
1000246V2_34,감귤/청로,과일,귤만감,유:2kg
1000247V2_35,감귤꽁꽁,음료,빙과,120ml
1000248V2_36,감귤즙,음료,과즙,150ml
1000249V2_36,감귤즙,음료,과즙,150ml*10개
1000250V2_36,감귤즙,음료,과즙,620ml
1000251V2_36,감귤즙,음료,과즙,유기/150ml
1000252V2_36,감귤즙,음료,과즙,유기/150ml*10봉
1000253V2_37,감말랭이,과일,곶감,300g
1000254V2_38,감식초,기름/식초,식초,375ml
1000255V2_38,감식초,기름/식초,식초,700ml
1000256V2_39,감식초&개복숭아원액모음,음료,음료기타,
1000257V2_40,감잎차,차,잎꽃차,30g
1000258V2_41,감잎차선물모음,차,잎꽃차,
1000259V2_42,감자라면,밀가공,라면,110g:1봉
1000260V2_42,감자라면,밀가공,라면,1묶음:4봉
1000261V2_42,감자라면,밀가공,라면,1묶음:4봉-쿠폰북행사
1000262V2_42,감자라면,밀가공,라면,1상자:20봉
1000263V2_42,감자라면,밀가공,라면,1상자:6묶음
1000264V2_43,감자바게트,빵,건강곡물빵,180g/
1000265V2_44,감자쌀과자,과자,스낵,32g
1000266V2_45,감자전분,가루,과채가루,300g
1000267V2_46,감자칼국수,밀가공,생숙면,600g
1000268V2_47,감태,해조,기타해조류,300g
1000269V2_48,갓,잎/줄기채소,갓,갓김치용:1kg
1000270V2_49,갓김치,김치,기타채소,500g
1000271V2_50,갓끈동부,열매채소,갓끈동부,200g
1000272V2_51,강낭콩,열매채소,풋콩,1kg
1000273V2_52,개별절전멀티콘센트,생활용품,환경용품,2구/1.5m
1000274V2_52,개별절전멀티콘센트,생활용품,환경용품,4구/1.5m
1000275V2_53,개복숭아/2kg,과일,개복숭아,
1000276V2_54,개복숭아감식초,음료,음료기타,700ml
1000277V2_55,개복숭아감식초모음,음료,음료기타,
1000278V2_56,개복숭아원액,음료,발효음료,700ml
1000279V2_57,개조개,생물수산,패류/갑각류,500g/2~3개
1000280V2_58,거품없는 세정제,세제/세안,살균/세정/탈취,주방ㆍ찌든때용
1000281V2_59,건강담은환선물모음,건강일반,분말/환,
1000282V2_60,건강한호밀빵,빵,건강곡물빵,200g/
1000283V2_61,건고추/유기재배/3kg,양념채소,건고추,5근
1000284V2_62,건구기자/무,차,곡류차,300g
1000285V2_63,건구기자/유,차,곡류차,300g
1000286V2_64,건대추,과일,건대추,500g
1000287V2_65,건대추/자주인증,과일,건대추,500g
1000288V2_66,건도라지,말린나물/건재,말린도라지,50g
1000289V2_67,건목이버섯,버섯,목이버섯,20g
1000290V2_68,건붉은새우,건어물,기타건어류,130g
1000291V2_69,건새우아욱국,즉석조리,국.찌개,500g
1000292V2_70,건어선물모음,건어물,기타건어류,
1000293V2_71,건여주,건강일반,건강차,100g
1000294V2_72,건오미자,차,곡류차,300g/유
1000295V2_73,검은콩낫토,장,장류/기타,50g*2
1000296V2_74,검은콩두유,음료,두유,160ml*20봉/선물
1000297V2_74,검은콩두유,음료,두유,160ml*5봉
1000298V2_75,검정깨/국산,콩/화본/깨,깨,300g
1000299V2_76,검정깨/무,콩/화본/깨,깨,300g
10002100V2_77,검정깨/유,콩/화본/깨,깨,300g
10002101V2_78,검정콩/국산,콩/화본/깨,콩,500g
10002102V2_79,검정콩/유,콩/화본/깨,콩,500g
10002103V2_80,검정콩세알,과자,스낵,190g
10002104V2_81,겉껍질 깐밤,견과,밤,200g
10002105V2_82,겨우살이차,음료,건강차,40g*2봉
10002106V2_82,겨우살이차,음료,건강차,80g
10002107V2_83,견과바,과자,스낵,25g
10002108V2_84,결명자차,차,곡류차,무/300g
10002109V2_85,계란탕솥,식기/편백,옹기,
10002110V2_86,고구마말랭이,과자,엿/양갱/기타,80g
10002111V2_87,고구마묵,어묵/묵,묵,370g
10002112V2_88,고구마부리토,밀가공,피자/핫도그,92g
10002113V2_89,고구마순,잎/줄기채소,고구마순,400g
10002114V2_90,고구마양갱,과자,엿/양갱/기타,40g
10002115V2_91,고구마줄기말림,말린나물/건재,고구마순말림(70g),70g
10002116V2_92,고구마찐빵,빵,"찐빵,호떡,전통",360g/5개/
10002117V2_93,고구마케이크,빵,"케이크,롤,선물",2호/700g
10002118V2_93,고구마케이크,빵,"케이크,롤,선물",소/400g
10002119V2_94,고기만두,밀가공,만두,1.5kg
10002120V2_94,고기만두,밀가공,만두,500g
10002121V2_95,고기왕교자,밀가공,만두,490g
10002122V2_96,고들빼기김치,김치,기타채소,500g
10002123V2_97,고등어,냉동수산,냉동생선,토막/500g
10002124V2_98,고수,잎/줄기채소,기타,30g
10002125V2_99,고추부각,밑반찬,부각/튀각,60g
10002126V2_100,고추소시지,육가공,햄/소시지/훈제,230g-
10002127V2_101,고추장멸치볶음,밑반찬,볶음,150g
10002128V2_102,고추장불고기양념,소스/기타양념,기타양념,250g
10002129V2_103,고춧가루,가루,고춧가루,양념용/500g
10002130V2_103,고춧가루,가루,고춧가루,청양초/400g
10002131V2_103,고춧가루,가루,고춧가루,토종/300g
10002132V2_104,고춧가루/유,가루,고춧가루,2kg/양념용
10002133V2_105,고춧잎,잎/줄기채소,고춧잎,200g
10002134V2_106,곡물쿠키믹스,가루,프리믹스,250g*2봉
10002135V2_107,곡물플레이크,식사대용,씨리얼,300g
10002136V2_108,곤드레나물,말린나물/건재,곤드레나물/손질,냉동/400g
10002137V2_109,곤드레나물밥,식사대용,식사대용/기타,300g
10002138V2_109,곤드레나물밥,식사대용,식사대용/기타,624g
10002139V2_110,곤드레잎,잎/줄기채소,곤드레잎,200g
10002140V2_111,곰돌이주머니,생활용품,기타생활용품,1장
10002141V2_112,곰취,잎/줄기채소,곰취,100g
10002142V2_113,곰취말림,말린나물/건재,기타,40g
10002143V2_114,곱게다진닭안심살,닭/오리,무항생제닭,무항생제/100g
10002144V2_115,곱게다진대구살,냉동수산,냉동생선,80g
10002145V2_116,곱게다진멸치,냉동수산,기타냉동수산,80g
10002146V2_117,곱게다진새우살,냉동수산,기타냉동수산,80g
10002147V2_118,곱게다진오징어,냉동수산,기타냉동수산,80g
10002148V2_119,곱게다진한우순살,소,유기한우,유기/200g
10002149V2_120,공심채,잎/줄기채소,공심채,150g
10002150V2_121,곶감/고종시,과일,곶감,유:12개
10002151V2_122,곶감/대봉,과일,곶감,10개
10002152V2_123,곶감/대봉/무,과일,곶감,10개
10002153V2_124,곶감/대봉/유기,과일,곶감,10개
10002154V2_125,곶감/둥시,과일,곶감,10개
10002155V2_125,곶감/둥시,과일,곶감,30개
10002156V2_126,곶감/반건시,과일,곶감,밀시감:500g
10002157V2_127,과일잼모음,잼/병조림/기타,잼,4종
10002158V2_128,과일푸딩,음료,푸딩,감귤:110g
10002159V2_128,과일푸딩,음료,푸딩,딸기:110g
10002160V2_128,과일푸딩,음료,푸딩,사과:110g
10002161V2_128,과일푸딩,음료,푸딩,포도:110g
10002162V2_129,과자선물모음,과자,스낵,
10002163V2_130,구기자환,건강일반,분말/환,180g
10002164V2_131,구운고등어,수산가공,수산가공반찬,100g
10002165V2_132,구운김밥김,해조,김,10장
10002166V2_133,구운도시락김,밑반찬,김가공,5g*3봉
10002167V2_133,구운도시락김,밑반찬,김가공,5g*3봉-쿠폰북
10002168V2_134,구운돌김,해조,김,15장
10002169V2_135,구운삼치,수산가공,수산가공반찬,70g
10002170V2_136,구운유정란,알,유정란,6알
10002171V2_137,구운자른김,밑반찬,김가공,15g*3봉
10002172V2_138,구운전장김,밑반찬,김가공,40g
10002173V2_139,구운전장김모음,밑반찬,김가공,
10002174V2_140,구운참김,해조,김,15장
10002175V2_141,구운파래참김,해조,김,15장
10002176V2_142,구이갈비,돼지,보리살림돼지,1kg/우리보리살림돼지
10002177V2_143,구이용삼치,냉동수산,냉동생선,400g/1마리
10002178V2_143,구이용삼치,냉동수산,대용량물품(냉동수산),1kg
10002179V2_144,구죽염가루,소금,가공소금,100g
10002180V2_145,국물멸치,건어물,멸치류,300g
10002181V2_146,국물멸치/상,건어물,멸치류,300g
10002182V2_147,국물용황태대가리,건어물,황태류,200g
10002183V2_148,국수기,식기/편백,옹기,
10002184V2_149,국화차,차,잎꽃차,0.6g*20티백
10002185V2_149,국화차,차,잎꽃차,유기/20g
10002186V2_150,국화차모음,차,잎꽃차,"20g,0.6g*20티백"
10002187V2_151,군만두,밀가공,만두,500g
10002188V2_152,굴비,냉동수산,냉동생선,10마리/800g
10002189V2_152,굴비,냉동수산,냉동생선,대/3마리/330g
10002190V2_152,굴비,냉동수산,냉동생선,소/5마리/300g
10002191V2_152,굴비,냉동수산,냉동생선,중/3마리/240g
10002192V2_152,굴비,냉동수산,냉동생선,중/5마리/450g
10002193V2_153,굴비모음,냉동수산,냉동생선,특/5마리/1.2kg
10002194V2_154,굴비모음1,냉동수산,냉동생선,10마리/1.1kg
10002195V2_154,굴비모음1,냉동수산,냉동생선,5마리/550g
10002196V2_155,굴비모음2,냉동수산,냉동생선,10마리/1.3kg
10002197V2_156,굴비모음3,냉동수산,냉동생선,10마리/1.7kg
10002198V2_157,굴소스,소스/기타양념,소스,220ml
10002199V2_158,굵은소금,소금,천일염,10kg
10002200V2_158,굵은소금,소금,천일염,3kg
10002201V2_159,궁중팬/22㎝,식기/편백,스테인리스,
10002202V2_160,궁중팬/24㎝,식기/편백,스테인리스,
10002203V2_161,궁중팬/28㎝,식기/편백,스테인리스,
10002204V2_162,귀리,콩/화본/깨,화본,국산/500g
10002205V2_162,귀리,콩/화본/깨,화본,무/500g
10002206V2_163,귤/무,과일,귤(조생),1.5kg
10002207V2_163,귤/무,과일,귤(조생),3kg
10002208V2_163,귤/무,과일,귤(조생),5kg
10002209V2_164,귤/유,과일,귤(조생),1.5kg
10002210V2_164,귤/유,과일,귤(조생),3kg
10002211V2_164,귤/유,과일,귤(조생),5kg
10002212V2_165,그로우백,생활용품,숯/원예,미니/초록
10002213V2_165,그로우백,생활용품,숯/원예,열매채소용/초록
10002214V2_165,그로우백,생활용품,숯/원예,열매채소용/파랑
10002215V2_165,그로우백,생활용품,숯/원예,잎채소용/초록
10002216V2_165,그로우백,생활용품,숯/원예,잎채소용/파랑
10002217V2_166,근대,잎/줄기채소,근대,300g
10002218V2_166,근대,잎/줄기채소,근대,300g/채소꾸러미용
10002219V2_167,근대된장국,즉석조리,국.찌개,500g
10002220V2_168,긁지말고 모물린,생활용품,기타생활용품,
10002221V2_169,"금귤/유,무",과일,귤만감,500g
10002222V2_170,금산오미자원액,음료,발효음료,700ml
10002223V2_171,금이버섯,버섯,금이버섯,150g
10002224V2_172,기장,콩/화본/깨,화본,국산/500g
10002225V2_173,기장/무,콩/화본/깨,화본,150g
10002226V2_173,기장/무,콩/화본/깨,화본,500g
10002227V2_174,기장/유,콩/화본/깨,화본,500g
10002228V2_175,긴독1호,식기/편백,옹기,
10002229V2_176,긴독2호,식기/편백,옹기,
10002230V2_177,긴독3호,식기/편백,옹기,
10002231V2_178,긴석작꾸러미,과자,한과/유과,1.3kg
10002232V2_179,김말이,즉석조리,간편요리,500g
10002233V2_180,김밥용햄,육가공,햄/소시지/훈제,285g
10002234V2_180,김밥용햄,육가공,햄/소시지/훈제,285g-
10002235V2_181,김부각,밑반찬,김가공,50g
10002236V2_182,김자반볶음,밑반찬,김가공,40g
10002237V2_183,김장김치,김치,배추,10kg
10002238V2_184,김장새우,냉동수산,기타냉동수산,참새우/1kg
10002239V2_185,김장새우젓,수산가공,젓갈/액젓,1.8kg
10002240V2_186,김치만두,밀가공,만두,1.5kg
10002241V2_186,김치만두,밀가공,만두,500g
10002242V2_187,김치왕교자,밀가공,만두,490g
10002243V2_188,까나리액젓,수산가공,젓갈/액젓,1kg
10002244V2_188,까나리액젓,수산가공,젓갈/액젓,2.1kg
10002245V2_189,깍두기김치,김치,무,1kg
10002246V2_189,깍두기김치,김치,무,300g
10002247V2_190,깐녹두,콩/화본/깨,콩,국산/500g
10002248V2_191,깐녹두/무,콩/화본/깨,콩,500g
10002249V2_192,깐녹두/유,콩/화본/깨,콩,500g
10002250V2_193,깐더덕,뿌리채소,더덕/손질,200g
10002251V2_194,깐도라지,뿌리채소,도라지/손질,150g
10002252V2_195,깐마늘/난지형/유,양념채소,깐마늘,300g
10002253V2_196,깐밤,견과,밤,150g
10002254V2_197,깐은행,견과,은행,150g
10002255V2_198,깐쪽파,양념채소,쪽파,200g
10002256V2_198,깐쪽파,양념채소,쪽파,500g
10002257V2_199,깐호두,견과,호두,140g
10002258V2_200,깐호두/선물용,견과,호두,450g
10002259V2_201,깻단,잎/줄기채소,깻단,250g
10002260V2_202,깻순,잎/줄기채소,깻잎,200g
10002261V2_203,깻잎,잎/줄기채소,깻잎,30장
10002262V2_204,깻잎절임김치,김치,기타채소,200g
10002263V2_205,꼬마새송이버섯,버섯,새송이버섯,300g
10002264V2_206,꼬마소시지,육가공,햄/소시지/훈제,300g-
10002265V2_206,꼬마소시지,육가공,햄/소시지/훈제,300g-쿠폰북행사
10002266V2_207,꼬마인절미,떡,즉석떡,110g
10002267V2_208,꼬마찹쌀모나카,과자,스낵,112g/8개
10002268V2_209,꼬마쿠키모음,과자,쿠키,210g
10002269V2_210,꼬막새우살,냉동수산,기타냉동수산,350g
10002270V2_211,꼬시래기,해조,기타해조류,300g
10002271V2_212,꽁치,냉동수산,냉동생선,3마리/250g
10002272V2_212,꽁치,냉동수산,냉동생선,3마리/300g
10002273V2_213,꽁치과메기,냉동수산,기타냉동수산,냉동/10마리/20쪽
10002274V2_213,꽁치과메기,냉동수산,기타냉동수산,냉장/10마리/20쪽
10002275V2_214,꽃게,생물수산,패류/갑각류,숫게/1kg
10002276V2_214,꽃게,생물수산,패류/갑각류,암게/1kg
10002277V2_214,꽃게,생물수산,패류/갑각류,암게/2kg
10002278V2_215,꽃등심로스-성남용인,중량(정육),한우(중량),
10002279V2_216,꽃망울1인다기,식기/편백,자기,
10002280V2_217,꽃사슴녹용액,홍삼/녹용,녹용,남성/30봉*90ml
10002281V2_217,꽃사슴녹용액,홍삼/녹용,녹용,남성/60봉*90ml
10002282V2_217,꽃사슴녹용액,홍삼/녹용,녹용,수험생/30봉*90ml
10002283V2_217,꽃사슴녹용액,홍삼/녹용,녹용,수험생/60봉*90ml
10002284V2_217,꽃사슴녹용액,홍삼/녹용,녹용,어린이/30봉*90ml
10002285V2_217,꽃사슴녹용액,홍삼/녹용,녹용,어린이/60봉*90ml
10002286V2_217,꽃사슴녹용액,홍삼/녹용,녹용,여성/30봉*90ml
10002287V2_217,꽃사슴녹용액,홍삼/녹용,녹용,여성/60봉*90ml
10002288V2_218,꽃송이상추,쌈채소류,상추,200g
10002289V2_219,꽃잎1인다기,식기/편백,자기,
10002290V2_220,꽃찐빵,빵,기타(냉동 등),330g:10개
10002291V2_220,꽃찐빵,빵,기타(냉동 등),330g:10개/
10002292V2_221,꽈리고추,열매채소,꽈리고추,100g
10002293V2_221,꽈리고추,열매채소,꽈리고추,200g
10002294V2_222,꾸러기짱,과자,스낵,90g
10002295V2_223,꾸리살-성남용인,중량(정육),한우(중량),
10002296V2_224,꾸지뽕/냉동,과일,냉동건조과일,유:2kg
10002297V2_225,꿀선물모음,꿀,꿀,2종
10002298V2_226,꿀선물모음실속형,꿀,꿀,2종
10002299V2_227,꿀을바른바삭한쌀스낵,과자,스낵,80g
10002300V2_228,꿀카스텔라,빵,"케이크,롤,선물",270g/
10002301V2_229,나박김치,김치,무,1kg
10002302V2_230,날개파스타접시,식기/편백,자기,진사
10002303V2_231,남촌고급와인,과실주,포도주,레드/750ml
10002304V2_231,남촌고급와인,과실주,포도주,스위트/750ml
10002305V2_232,남촌고급와인모음,과실주,포도주,2병
10002306V2_233,남촌포도주,과실주,포도주,레드/700ml
10002307V2_233,남촌포도주,과실주,포도주,스위트/700ml
10002308V2_234,남해바다 아귀포,건어물,기타건어류,120g
10002309V2_235,남해바다 쥐치포,건어물,기타건어류,120g
10002310V2_236,남해바다 학꽁치포,건어물,기타건어류,120g
10002311V2_237,남해안생굴,생물수산,패류/갑각류,150g
10002312V2_237,남해안생굴,생물수산,패류/갑각류,500g
10002313V2_238,냉동굴,냉동수산,냉동패류,350g
10002314V2_239,냉동단호박녹두송편,떡,송편,500g
10002315V2_240,냉동동태알,냉동수산,기타냉동수산,탕용/400g
10002316V2_241,냉동딸기,과일채소,냉동딸기,500g
10002317V2_242,냉동떡국떡,떡,가래떡,800g
10002318V2_243,냉동떡볶이떡,떡,가래떡,500g
10002319V2_244,냉동메론,과일채소,냉동메론,300g
10002320V2_245,냉동모듬찰떡,떡,기타(냉동 등),80g*5종
10002321V2_246,냉동모시송편,떡,송편,200g
10002322V2_247,냉동밀떡볶이떡,떡,가래떡,500g
10002323V2_248,냉동백미깨송편,떡,송편,500g
10002324V2_249,냉동블루베리,과일,블루베리,500g
10002325V2_250,냉동산딸기,과일,산딸기,250g
10002326V2_251,냉동쑥깨송편,떡,송편,500g
10002327V2_252,냉동아로니아,과일,냉동건조과일,1kg
10002328V2_253,냉동오디,과일,냉동건조과일,500g
10002329V2_254,냉동치즈떡볶이떡,떡,가래떡,300g
10002330V2_255,냉동현미떡국떡,떡,가래떡,500g
10002331V2_256,냉동흑미건강떡,떡,기타(냉동 등),80g*5봉
10002332V2_257,냉동흑미녹두송편,떡,송편,500g
10002333V2_258,냉면기,식기/편백,자기,분청
10002334V2_259,냉면사리,밀가공,생숙면,150gx3개
10002335V2_260,냉이,잎/줄기채소,냉이,200g
10002336V2_261,냉장고용김칫독,식기/편백,옹기,소
10002337V2_262,냉장고탈취제,세제/세안,살균/세정/탈취,80g
10002338V2_263,너울국그릇모음,식기/편백,자기,4개
10002339V2_264,너울밥그릇모음,식기/편백,자기,4개
10002340V2_265,너울양념종지모음,식기/편백,자기,4개
10002341V2_266,너울찬기모음,식기/편백,자기,대/4개
10002342V2_266,너울찬기모음,식기/편백,자기,소/4개
10002343V2_266,너울찬기모음,식기/편백,자기,중/4개
10002344V2_267,네모난햄,육가공,햄/소시지/훈제,500g-
10002345V2_268,노각오이,열매채소,노각오이,400~700g:1개
10002346V2_268,노각오이,열매채소,노각오이,700g이상:1개
10002347V2_269,노란콩쌀쿠키,과자,쿠키,100g
10002348V2_270,노루궁뎅이버섯,버섯,노루궁뎅이버섯,150g이상
10002349V2_270,노루궁뎅이버섯,버섯,노루궁뎅이버섯,170g이상
10002350V2_271,녹두가루,가루,곡식가루,300g
10002351V2_272,녹두전,즉석조리,간편요리,300g
10002352V2_273,녹두전 반죽,즉석조리,간편요리,500g
10002353V2_274,녹미/유,유색미/발아미,유색미,1kg
10002354V2_275,녹차꿀카스텔라,빵,"케이크,롤,선물",270g/
10002355V2_276,녹차롤케이크,빵,"케이크,롤,선물",420g
10002356V2_277,녹차쿠키,과자,쿠키,100g
10002357V2_278,녹차티백,차,잎꽃차,1.2g*100티백
10002358V2_278,녹차티백,차,잎꽃차,1.2g*20티백
10002359V2_279,농축토마토,소스/기타양념,기타양념,250g
10002360V2_280,누룽지,과자,스낵,300g
10002361V2_280,누룽지,과자,스낵,500g
10002362V2_280,누룽지,과자,스낵,소:90g
10002363V2_281,누에가루,건강일반,분말/환,100g*2병
10002364V2_281,누에가루,건강일반,분말/환,170g
10002365V2_282,누에환,건강일반,분말/환,250g
10002366V2_283,눈개승마,말린나물/건재,기타,삼나물말림/40g
10002367V2_284,느타리버섯,버섯,느타리버섯,300g
10002368V2_285,느티나무 조리도구모음,식기/편백,편백,4종
10002369V2_286,느티나무 통원목도마,식기/편백,편백,대
10002370V2_286,느티나무 통원목도마,식기/편백,편백,소
10002371V2_286,느티나무 통원목도마,식기/편백,편백,중
10002372V2_287,늙은호박,열매채소,늙은호박,극소:2~3kg
10002373V2_287,늙은호박,열매채소,늙은호박,대:7-9kg
10002374V2_287,늙은호박,열매채소,늙은호박,소:3-5kg
10002375V2_287,늙은호박,열매채소,늙은호박,중:5-7kg
10002376V2_288,다듬은 파,양념채소,대파/손질,300g
10002377V2_289,다래생화분,꿀,꿀부산물,290g
10002378V2_290,다래순말림,말린나물/건재,다래순말림(100g),60g
10002379V2_291,다슬기살,냉동수산,냉동패류,100g
10002380V2_292,다슬기해장국,수산가공,국/탕(수산),350g
10002381V2_293,다시마,해조,미역/다시마,200g
10002382V2_294,다시마가루,수산가공,수산분말,120g
10002383V2_295,다시마튀각,밑반찬,부각/튀각,40g
10002384V2_296,다용도공기,식기/편백,옹기,5개
10002385V2_297,다용도면포,생활용품,주방소품,정사각
10002386V2_297,다용도면포,생활용품,주방소품,직사각
10002387V2_298,다용도미생물,생활용품,숯/원예,1ℓ
10002388V2_299,다용도방수파우치,생활용품,위생용품,
10002389V2_300,다용도세척제,세제/세안,살균/세정/탈취,500㎖
10002390V2_300,다용도세척제,세제/세안,살균/세정/탈취,보충용:400㎖
10002391V2_301,다진마늘/난지형,소스/기타양념,기타양념,유:180g
10002392V2_301,다진마늘/난지형,소스/기타양념,기타양념,유:200g
10002393V2_302,다진생강,소스/기타양념,기타양념,냉동/180g
10002394V2_303,다진청양고추,소스/기타양념,기타양념,180g
10002395V2_304,단감,과일,단감,대:5개
10002396V2_304,단감,과일,단감,소:5개
10002397V2_304,단감,과일,단감,조생:1kg
10002398V2_304,단감,과일,단감,중:5개
10002399V2_304,단감,과일,단감,특대:5개
10002400V2_305,단감/,과일,단감,소:2kg
10002401V2_306,단감/대/,과일,단감,조생:1kg
10002402V2_307,단감/무,과일,단감,소:5개
10002403V2_307,단감/무,과일,단감,중:5개
10002404V2_308,단감/소/,과일,단감,조생:1kg
10002405V2_309,단감/유,과일,단감,대:5개
10002406V2_310,단감/중/,과일,단감,조생:1kg
10002407V2_311,단단한두부,두부/유부,두부,340g
10002408V2_312,단무지,절임/장아찌,절임,김밥용:400g
10002409V2_312,단무지,절임/장아찌,절임,반찬용:230g
10002410V2_312,단무지,절임/장아찌,절임,반찬용:400g
10002411V2_313,단팝콘,과자,스낵,80g
10002412V2_314,단팥빵,빵,앙금크림빵,85g/
10002413V2_315,단호박,열매채소,단호박,1개:0.6~1kg
10002414V2_315,단호박,열매채소,단호박,1개:1.5kg이상
10002415V2_315,단호박,열매채소,단호박,1개:1~1.5kg
10002416V2_315,단호박,열매채소,단호박/손질,깍뚝썰기/300g
10002417V2_315,단호박,열매채소,단호박/손질,편썰기/300g
10002418V2_316,단호박양갱,과자,엿/양갱/기타,40g
10002419V2_317,단호박요구르트,유제품,요구르트,120ml
10002420V2_318,단호박찐빵,빵,"찐빵,호떡,전통",300g/5개/
10002421V2_319,단호박쿠키,과자,쿠키,100g
10002422V2_320,단호박품은쌀과자,과자,스낵,40g
10002423V2_321,달래,잎/줄기채소,달래,100g
10002424V2_321,달래,잎/줄기채소,달래,100g/미인증
10002425V2_321,달래,잎/줄기채소,달래,500g/장아찌용/미인증
10002426V2_322,달지않은 떠먹는 요구르트,유제품,요구르트,90g*2
10002427V2_323,달지않은 떠먹는요거트,유제품,요구르트,350g
10002428V2_323,달지않은 떠먹는요거트,유제품,요구르트,90g*2개
10002429V2_324,달지않은 떠먹는요구르트,유제품,요구르트,90g
10002430V2_325,달지않은곡물플레이크,식사대용,씨리얼,300g
10002431V2_326,달지않은옥수수플레이크,식사대용,씨리얼,300g
10002432V2_327,닭가슴살,닭/오리,무항생제닭,200g
10002433V2_327,닭가슴살,닭/오리,무항생제닭,400g
10002434V2_328,닭가슴살버거패티,육가공,돈가스/분쇄가공,280g
10002435V2_329,닭고기볶음밥,식사대용,식사대용/기타,300g
10002436V2_329,닭고기볶음밥,식사대용,식사대용/기타,300g-쿠폰북 행사
10002437V2_330,닭곰탕,즉석조리,국.찌개,500g
10002438V2_331,닭날개,닭/오리,무항생제닭,500g
10002439V2_332,닭다리,닭/오리,무항생제닭,600g
10002440V2_333,닭다리순살,닭/오리,무항생제닭,400g
10002441V2_334,닭발,닭/오리,무항생제닭,500g
10002442V2_335,닭봉,닭/오리,무항생제닭,300g
10002443V2_336,닭분쇄육,닭/오리,무항생제닭,300g
10002444V2_337,닭안심살,닭/오리,무항생제닭,200g
10002445V2_337,닭안심살,닭/오리,무항생제닭,400g
10002446V2_338,담음공기세트,식기/편백,자기,4개
10002447V2_339,담음구이접시,식기/편백,자기,
10002448V2_340,담음대접세트,식기/편백,자기,4개
10002449V2_341,담음양념종지세트,식기/편백,자기,4개
10002450V2_342,담음찬기2호세트,식기/편백,자기,4개
10002451V2_343,담음찬기3호세트,식기/편백,자기,4개
10002452V2_344,담음커피잔세트,식기/편백,자기,2인용
10002453V2_345,당귀무말림무침,절임/장아찌,장아찌,240g
10002454V2_346,당근,뿌리채소,당근,1kg
10002455V2_346,당근,뿌리채소,당근,300g
10002456V2_346,당근,뿌리채소,당근,500g
10002457V2_346,당근,뿌리채소,당근,즙용:1kg
10002458V2_347,당근꿀카스텔라,빵,"케이크,롤,선물",270g/
10002459V2_348,당근머핀,빵,단과자빵,85g*2개
10002460V2_349,당근토마토즙,음료,과즙,620ml
