temp,SLABweight,SLABwide,SLABthick,SLABlong,RolljoblinLT,SHEARinLT,TSmean
315,34.62 ton,1530 mm,250 mm,11690 mm,7,18.2,254
464,24.17 ton,1400 mm,250 mm,8830 mm,13.3,7.7,271
305,15.66 ton,1040 mm,250 mm,7700 mm,13.6,9.3,332
541,19.58 ton,1050 mm,250 mm,9540 mm,7.5,4.2,341
309,33.91 ton,1490 mm,250 mm,11640 mm,12.1,19.6,320
481,26.79 ton,1390 mm,250 mm,9860 mm,12.5,18.6,314
317,28.1 ton,1340 mm,244 mm,10990 mm,13.1,18.2,308
541,21.58 ton,1570 mm,250 mm,7030 mm,11.5,8.5,268
351,21.56 ton,1390 mm,250 mm,8080 mm,13.4,21.3,319
190,34.25 ton,1500 mm,246 mm,11870 mm,7.1,17.9,263
334,22.7 ton,1300 mm,250 mm,8930 mm,7.4,11.5,427
484,22.28 ton,1060 mm,250 mm,10750 mm,9.1,12.5,340
311,27.73 ton,1400 mm,244 mm,10530 mm,12.4,16.6,292
426,19.65 ton,1390 mm,250 mm,7230 mm,12.4,7.2,342
423,16.64 ton,950 mm,250 mm,8960 mm,11.5,10.6,365
353,18.06 ton,1240 mm,250 mm,7450 mm,7.9,34.3,503
325,20.15 ton,1500 mm,244 mm,7040 mm,7.6,17.8,255
561,22.69 ton,1460 mm,250 mm,7950 mm,5.7,4.7,289
409,20.14 ton,1280 mm,250 mm,8210 mm,11.8,15.2,334
593,30.47 ton,1510 mm,250 mm,10320 mm,8.7,8.5,326
409,30.47 ton,1510 mm,250 mm,10320 mm,8.4,8.3,327
472,24.84 ton,1100 mm,250 mm,11550 mm,10.4,10.2,501
410,22.59 ton,1260 mm,250 mm,9170 mm,9.3,7.8,325
333,23.65 ton,1020 mm,250 mm,11860 mm,9.5,16.7,345
379,26.69 ton,1200 mm,250 mm,11570 mm,13.4,24.5,446
467,13.57 ton,1100 mm,250 mm,6310 mm,3.5,5.6,339
273,28.17 ton,1240 mm,246 mm,11810 mm,13.5,19.4,309
377,23.65 ton,1020 mm,250 mm,11860 mm,9.9,16.3,347
411,31.5 ton,1510 mm,250 mm,10670 mm,15.3,12.9,330
496,25.74 ton,1260 mm,250 mm,10450 mm,9.2,10,342
416,18.36 ton,1090 mm,250 mm,8820 mm,8.5,13.7,328
491,28.77 ton,1520 mm,250 mm,9680 mm,12.2,8.1,267
551,24.93 ton,1500 mm,250 mm,8500 mm,12.2,5.3,258
705,25.07 ton,1500 mm,250 mm,8550 mm,12.3,5.1,258
370,23.65 ton,1020 mm,250 mm,11860 mm,10.1,16.7,348
416,18.57 ton,980 mm,250 mm,9690 mm,10,7.8,337
718,28.97 ton,1570 mm,250 mm,9440 mm,10.4,3,254
750,28.97 ton,1570 mm,250 mm,9440 mm,10.6,3.4,255
482,29.71 ton,1290 mm,250 mm,11780 mm,8.7,4.8,524
336,19.75 ton,1490 mm,250 mm,6780 mm,11.3,19.2,311
652,24.22 ton,1480 mm,250 mm,8370 mm,8.1,7.8,339
351,20.15 ton,1500 mm,244 mm,7040 mm,7.9,18,256
748,15.23 ton,1110 mm,250 mm,7020 mm,6,2.5,352
581,29.68 ton,1290 mm,250 mm,11770 mm,9.1,6.1,525
368,26.27 ton,1190 mm,250 mm,11290 mm,12.2,9.4,460
280,23.81 ton,1040 mm,250 mm,11710 mm,8.3,12.8,328
531,18.57 ton,980 mm,250 mm,9690 mm,10,7.9,338
627,15.32 ton,1110 mm,250 mm,7060 mm,5.9,2.4,351
368,25.99 ton,1160 mm,250 mm,11460 mm,6.9,21.9,338
392,16.66 ton,1000 mm,250 mm,8520 mm,3.4,5.7,319
359,14.07 ton,1260 mm,250 mm,5710 mm,7.4,9.7,411
488,19.39 ton,1300 mm,250 mm,7750 mm,7.5,11.1,430
324,22.7 ton,1270 mm,246 mm,9290 mm,11.5,14.2,274
766,15.32 ton,1110 mm,250 mm,7060 mm,6.1,2.5,352
320,23.65 ton,1020 mm,250 mm,11860 mm,11.3,15.9,343
703,15.32 ton,1110 mm,250 mm,7060 mm,6.2,2.6,352
469,34.8 ton,1520 mm,250 mm,11710 mm,10.8,6.6,267
422,19.37 ton,1090 mm,250 mm,9090 mm,8,13.4,327
485,24.67 ton,1100 mm,250 mm,11470 mm,8,4.8,341
290,27.81 ton,1240 mm,250 mm,11470 mm,7.6,15.3,335
608,15.32 ton,1110 mm,250 mm,7060 mm,6.1,2.4,351
414,22.37 ton,1260 mm,250 mm,9080 mm,8.5,11.7,436
547,25.45 ton,1260 mm,250 mm,10330 mm,8.5,11.3,438
700,15.23 ton,1110 mm,250 mm,7020 mm,6,2.7,352
434,28.41 ton,1300 mm,250 mm,11180 mm,8.9,12.8,434
